location,city,latitude,longitude
JP Nagar Phase 1,bangalore,12.9096941,77.5866067
Kannur on Thanisandra Main Road,bangalore,12.93811,77.60866
Doddanekundi,bangalore,12.9713194,77.6964768
Kengeri,bangalore,12.9229728,77.4842926
Horamavu,bangalore,13.0264172,77.6607702
Thanisandra,bangalore,13.0562923,77.6328481
Ramamurthy Nagar,bangalore,13.0120218,77.6777817
Whitefield Hope Farm Junction,bangalore,12.9822315,77.7518066
Electronic City Phase 1,bangalore,12.8449901,77.6653789
Yelahanka,bangalore,13.1006982,77.5963454
Anjanapura,bangalore,12.8621257,77.563952
Jalahalli,bangalore,13.0464531,77.5483803
Kasavanahalli,bangalore,12.904881,77.675931
Bommasandra,bangalore,12.820922,77.687387
Bellandur,bangalore,12.9371445,77.6720227
RR Nagar,bangalore,12.932582,77.5162034
Begur,bangalore,12.8739338,77.6257894
Hosa Road,bangalore,12.8722557,77.663486
Sahakar Nagar,bangalore,21.1765535,79.6503528
Kadugodi,bangalore,12.9985767,77.7609716
Jakkur,bangalore,13.072274,77.60397
Jigani,bangalore,12.8170129,77.676507
Krishnarajapura,bangalore,12.9999024,77.6776703
Brookefield,bangalore,12.9574345,77.7147082
Banashankari,bangalore,12.915221,77.573598
Nelamangala,bangalore,13.0504205,77.4927727
Attibele,bangalore,12.781354,77.743055
Banaswadi,bangalore,13.0141618,77.6518539
Kodigehalli,bangalore,13.0038165,77.7273361
ITPL,bangalore,12.987475,77.736073
Uttarahalli Hobli,bangalore,12.9059,77.542
Chikkagubbi on Hennur Main Road,bangalore,13.00397,77.619569
Varthur,bangalore,12.956814,77.69731
Vidyaranyapura,bangalore,13.077539,77.570743
Electronic City Phase 2,bangalore,12.8468545,77.6769267
J. P. Nagar,bangalore,12.864146,77.581719
K. Chudahalli,bangalore,12.839971,77.533226
Narayanaghatta,bangalore,12.836902,77.726079
Anekal City,bangalore,12.8413714,77.67591
Sarjapur,bangalore,12.9244884,77.6451418
Koramangala,bangalore,12.9357366,77.624081
Hebbal,bangalore,13.0434496,77.590516
Budigere Cross,bangalore,13.0464988,77.7504582
Bommanahalli,bangalore,12.906713,77.63102
Electronics City,bangalore,12.8871751,77.6112689
Chikkalasandra,bangalore,12.9121916,77.5476337
Kogilu,bangalore,13.103616,77.601203
Nayandahalli,bangalore,12.946067,77.529491
Bilekahalli,bangalore,12.9007941,77.6011827
Muneshwara Nagar,bangalore,13.060469,77.549035
Junnasandra,bangalore,12.905096,77.684502
Narayanapura on Hennur Main Road,bangalore,13.00397,77.619569
Kothanur,bangalore,12.8764315,77.5786186
Kadugodi Industrial Area,bangalore,12.9907478,77.7467309
Sarjapur Road Wipro To Railway Crossing,bangalore,12.970541,77.604785
RMV Extension Stage 2,bangalore,13.0222132,77.5781101
